Tue Aug 10 16:31:22 2021    stocks_complexity.py.stats

         500363111 function calls (493977509 primitive calls) in 5726.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49642    0.260    0.000    8.777    0.000 managers.py:833(take)
    26736    0.216    0.000    8.772    0.000 frame.py:3744(_set_item_mgr)
    83751    1.567    0.000    8.576    0.000 managers.py:1804(_form_blocks)
  1636004    1.668    0.000    8.397    0.000 series.py:1034(_get_value)
    27083    0.067    0.000    8.295    0.000 format.py:1270(get_result)
   103648    0.412    0.000    8.130    0.000 blocks.py:375(apply)
39397/38132    0.146    0.000    8.090    0.000 indexing.py:918(__getitem__)
     9578    0.068    0.000    8.072    0.001 generic.py:4118(drop)
    83751    0.557    0.000    7.895    0.000 construction.py:558(_homogenize)
     9578    0.082    0.000    7.840    0.001 generic.py:4154(_drop_axis)
 19594881    5.566    0.000    7.749    0.000 generic.py:43(_check)
  1804087    1.506    0.000    7.718    0.000 base.py:3317(get_loc)
  1614064    2.313    0.000    7.699    0.000 fuzz.py:21(ratio)
    19448    0.389    0.000    7.635    0.000 managers.py:1137(insert)
166137/89839    0.338    0.000    7.581    0.000 printing.py:165(pprint_thing)
    13641    0.034    0.000    7.285    0.001 _decorators.py:322(wrapper)
    59149    0.213    0.000    7.245    0.000 managers.py:622(reindex_indexer)
    26183    0.033    0.000    7.204    0.000 generic.py:10679(sum)
    26183    0.048    0.000    7.172    0.000 generic.py:10428(sum)
    26183    0.115    0.000    7.123    0.000 generic.py:10381(_min_count_stat_function)
  2284145    2.264    0.000    6.963    0.000 series.py:627(name)
     6749    0.026    0.000    6.898    0.001 frame.py:4769(drop)
    19728    0.155    0.000    6.850    0.000 datetimes.py:676(to_datetime)
    38266    0.170    0.000    6.794    0.000 printing.py:99(_pprint_seq)
  2293728    1.257    0.000    6.669    0.000 construction.py:369(extract_array)
    69900    0.200    0.000    6.654    0.000 indexing.py:2323(convert_to_index_sliceable)
363699/324831    0.160    0.000    6.490    0.000 missing.py:61(isna)
    23728    0.113    0.000    6.382    0.000 frame.py:3480(_getitem_bool_array)
    25922    0.063    0.000    6.370    0.000 datetimes.py:761(_get_string_slice)
363699/324831    0.397    0.000    6.351    0.000 missing.py:144(_isna)
    27729    0.382    0.000    6.336    0.000 series.py:5515(_arith_method)
    55597    0.231    0.000    6.290    0.000 series.py:2915(_construct_result)
     2495    0.075    0.000    6.245    0.003 string.py:172(<listcomp>)
27044316/26441242    3.727    0.000    6.160    0.000 {built-in method builtins.getattr}
    26193    0.054    0.000    6.159    0.000 arraylike.py:114(__truediv__)
   908580    0.374    0.000    6.087    0.000 config.py:547(_select_options)
    12956    0.163    0.000    6.036    0.000 frame.py:9771(_reduce)
    94181    0.093    0.000    6.023    0.000 generic.py:5549(_consolidate_inplace)
    94181    0.211    0.000    5.930    0.000 generic.py:5535(_protect_consolidate)
    97852    0.063    0.000    5.921    0.000 base.py:5705(_maybe_cast_listlike_indexer)
3022825/2997894    1.741    0.000    5.749    0.000 {built-in method builtins.all}
   116134    0.134    0.000    5.638    0.000 missing.py:278(notna)
     6478    0.017    0.000    5.598    0.001 groupby.py:1886(last)
    94181    0.150    0.000    5.597    0.000 generic.py:5553(f)
     6478    0.048    0.000    5.581    0.001 groupby.py:1330(_agg_general)
    27011    0.102    0.000    5.526    0.000 series.py:451(_init_dict)
    38266    0.760    0.000    5.517    0.000 config.py:562(<listcomp>)
  3228210    0.997    0.000    5.467    0.000 string_processing.py:20(replace_non_letters_non_numbers_with_whitespace)
     7840    0.147    0.000    5.437    0.001 client.py:222(parse_headers)
     6478    0.040    0.000    5.403    0.001 generic.py:1056(_cython_agg_general)
   117297    0.146    0.000    5.383    0.000 managers.py:615(_consolidate_inplace)
     9998    0.126    0.000    5.369    0.001 generic.py:4562(reindex)
    51824    0.501    0.000    5.367    0.000 algorithms.py:570(factorize)
  3228210    1.301    0.000    5.352    0.000 utils.py:64(asciidammit)
21833189/18629072    4.159    0.000    5.331    0.000 {built-in method builtins.len}
27757/27011    0.129    0.000    5.317    0.000 construction.py:798(create_series_with_explicit_dtype)
    94181    0.149    0.000    5.296    0.000 managers.py:599(consolidate)
    15925    0.077    0.000    5.268    0.000 indexing.py:1132(_getitem_axis)
61680/61641    0.207    0.000    5.150    0.000 datetimes.py:310(__new__)
    19434    0.052    0.000    5.144    0.000 series.py:4804(fillna)
    19434    0.180    0.000    5.092    0.000 generic.py:6186(fillna)
     7840    0.109    0.000    5.091    0.001 sessions.py:430(prepare_request)
   954620    1.821    0.000    5.032    0.000 blocks.py:1875(get_block_type)
  1677332    1.161    0.000    4.990    0.000 base.py:263(is_dtype)
     6478    0.067    0.000    4.899    0.001 managers.py:1206(grouped_reduce)
96292/83196    0.315    0.000    4.875    0.000 base.py:3488(_get_indexer)
    14222    0.051    0.000    4.810    0.000 indexing.py:945(_getbool_axis)
  2381257    1.084    0.000    4.782    0.000 re.py:198(search)
  2306280    1.340    0.000    4.760    0.000 common.py:1718(validate_all_hashable)
     6751    0.045    0.000    4.758    0.001 frame.py:4748(reindex)
     7840    0.059    0.000    4.716    0.001 sessions.py:701(merge_environment_settings)
     7840    0.138    0.000    4.676    0.001 parser.py:59(parsestr)
    12956    0.108    0.000    4.628    0.000 indexing.py:1267(_get_listlike_indexer)
   183299    0.407    0.000    4.574    0.000 managers.py:1562(from_array)
62948/62909    0.318    0.000    4.574    0.000 datetimes.py:338(_from_sequence_not_strict)
     7840    0.107    0.000    4.538    0.001 parser.py:41(parse)
     7840    0.020    0.000    4.503    0.001 utils.py:770(get_environ_proxies)
978299/836593    2.045    0.000    4.503    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2812    0.004    0.000    4.502    0.002 accessor.py:108(wrapper)
     2812    0.010    0.000    4.498    0.002 accessor.py:2107(startswith)
    11083    0.040    0.000    4.488    0.000 string.py:51(_empty_info_line)
  3237244    4.485    0.000    4.485    0.000 {method 'sub' of 're.Pattern' objects}
    19448    0.233    0.000    4.478    0.000 base.py:5957(insert)
    27868    0.229    0.000    4.459    0.000 series.py:5491(_cmp_method)
     6478    0.051    0.000    4.440    0.001 frame.py:7510(groupby)
     8494    0.153    0.000    4.426    0.001 concat.py:315(__init__)
   792954    1.376    0.000    4.401    0.000 blocks.py:1843(maybe_coerce_values)
     6478    0.080    0.000    4.387    0.001 groupby.py:845(__init__)
     5307    0.028    0.000    4.371    0.001 object_array.py:35(_str_map)
    25922    0.631    0.000    4.311    0.000 {pandas._libs.tslibs.parsing.parse_time_string}
     6478    0.119    0.000    4.303    0.001 grouper.py:680(get_grouper)
     2812    0.006    0.000    4.156    0.001 object_array.py:131(_str_startswith)
   127946    0.423    0.000    4.156    0.000 blocks.py:1122(take_nd)
    45346    0.087    0.000    4.119    0.000 frame.py:6167(f)
    13031    0.072    0.000    4.076    0.000 datetimes.py:160(_maybe_cache)
    34082    0.170    0.000    4.073    0.000 generic.py:5652(astype)
  3228210    1.037    0.000    4.051    0.000 utils.py:57(asciionly)
    99605    1.813    0.000    4.036    0.000 managers.py:224(_rebuild_blknos_and_blklocs)
     8494    0.022    0.000    4.025    0.000 concat.py:547(_get_new_axes)
     8494    0.033    0.000    3.996    0.000 concat.py:549(<listcomp>)
   136984    0.877    0.000    3.952    0.000 managers.py:970(iget)
    63361    0.720    0.000    3.918    0.000 datetimes.py:1968(sequence_to_dt64ns)
     5307    1.604    0.000    3.816    0.001 {pandas._libs.lib.map_infer_mask}
  2464389    1.779    0.000    3.813    0.000 common.py:1578(_is_dtype_type)
    70649    0.412    0.000    3.754    0.000 managers.py:1906(_multi_blockify)
    24104    0.706    0.000    3.721    0.000 managers.py:689(_slice_take_blocks_ax0)
     5517    0.117    0.000    3.716    0.001 format.py:1274(_format_strings)
     7840    0.034    0.000    3.689    0.000 feedparser.py:173(feed)
    14226    0.082    0.000    3.590    0.000 indexing.py:713(__setitem__)
   596285    1.177    0.000    3.578    0.000 common.py:220(asarray_tuplesafe)
    26466    0.198    0.000    3.563    0.000 managers.py:1957(_consolidate)
    12956    0.029    0.000    3.561    0.000 generic.py:1066(array_func)
190252/175997    0.318    0.000    3.555    0.000 take.py:54(take_nd)
    12956    0.073    0.000    3.532    0.000 ops.py:959(_cython_operation)
   339690    0.748    0.000    3.510    0.000 base.py:511(_dtype_to_subclass)
     8494    0.167    0.000    3.506    0.000 concat.py:167(concatenate_managers)
    15680    0.541    0.000    3.499    0.000 request.py:2486(getproxies_environment)
   419905    1.946    0.000    3.494    0.000 generic.py:5426(__finalize__)
    21185    0.045    0.000    3.492    0.000 arraylike.py:30(__eq__)
    15680    0.063    0.000    3.455    0.000 feedparser.py:178(_call_parse)
    15680    0.441    0.000    3.392    0.000 feedparser.py:218(_parsegen)
   136984    0.354    0.000    3.385    0.000 frame.py:3855(_box_col_values)
    36743    0.160    0.000    3.294    0.000 managers.py:673(<listcomp>)
  1804087    1.218    0.000    3.278    0.000 base.py:5696(_maybe_cast_indexer)
    14648    0.029    0.000    3.258    0.000 series.py:4246(apply)
    25912    0.134    0.000    3.256    0.000 generic.py:1523(__invert__)
    12956    0.073    0.000    3.220    0.000 generic.py:5572(_is_mixed_type)
  1568005    0.854    0.000    3.206    0.000 _collections_abc.py:848(__iter__)
    14648    0.030    0.000    3.180    0.000 apply.py:1022(apply)
    39200    0.086    0.000    3.143    0.000 models.py:818(content)
   304414    0.146    0.000    3.114    0.000 managers.py:158(blknos)
     8494    0.024    0.000    3.112    0.000 concat.py:554(_get_comb_axis)
    86240    0.116    0.000    3.105    0.000 {method 'join' of 'bytes' objects}
    14648    0.160    0.000    3.085    0.000 apply.py:1073(apply_standard)
     8494    0.016    0.000    3.078    0.000 api.py:69(get_objs_combined_axis)
    39699    0.072    0.000    3.063    0.000 format.py:1295(_format)
   398690    0.828    0.000    3.042    0.000 numeric.py:289(full)
     8494    0.048    0.000    3.029    0.000 api.py:113(_get_combined_index)
  3228371    3.014    0.000    3.014    0.000 {method 'translate' of 'str' objects}
   195105    0.498    0.000    3.011    0.000 base.py:4729(equals)
    15680    0.050    0.000    2.989    0.000 models.py:749(generate)
   168144    0.192    0.000    2.976    0.000 blocks.py:246(make_block)
  2754002    1.695    0.000    2.963    0.000 re.py:289(_compile)
    51824    0.079    0.000    2.959    0.000 frame.py:6194(<genexpr>)
    43567    0.242    0.000    2.933    0.000 series.py:4358(_reduce)
    15680    0.050    0.000    2.930    0.000 response.py:554(stream)
  1804087    0.977    0.000    2.926    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     7840    0.167    0.000    2.839    0.000 response.py:480(read)
    22463    0.116    0.000    2.839    0.000 base.py:3787(reindex)
     7840    0.034    0.000    2.826    0.000 adapters.py:292(get_connection)
     7840    0.042    0.000    2.821    0.000 models.py:310(prepare)
  1636004    1.097    0.000    2.746    0.000 base.py:5175(_get_values_for_loc)
462141/462123    0.413    0.000    2.718    0.000 {built-in method builtins.any}
