,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Security Code
429,"Tinplate Company of India Ltd.,",TINPLATE,Tinplate Company Of India Ltd.,Active,A ,10,INE422C01014,Containers & Packaging,Equity,504966
430,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1,INE149A01033,Holding Companies,Equity,504973
431,"Welcast Steels Ltd.,",ZWELCAST,Welcast Steels Ltd.,Active,X ,10,INE380G01015,Other Industrial Products,Equity,504988
432,"Western Ministil Ltd.,",WMINIMT,Western Ministil Ltd.,Active,P ,10,INE187U01015,Iron & Steel/Interm.Products,Equity,504998
433,"Automotive Axles Ltd.,",AUTOAXLES,Automotive Axles Ltd.,Active,A ,10,INE449A01011,Auto Parts & Equipment,Equity,505010
434,"Automobile Corpn. of Goa Ltd.,",ACGL,Automobile Corporation Of Goa Ltd.-$,Active,X ,10,INE451C01013,Auto Parts & Equipment,Equity,505036
435,Setco Automotive Limited,SETCO,Setco Automotive Ltd.,Active,B ,2,INE878E01021,Auto Parts & Equipment,Equity,505075
436,"Scooters India Ltd.,",SCOOTER,Scooters India Ltd.,Active,T ,10,INE959E01011,2/3 Wheelers,Equity,505141
437,"Talbros Automotive Components Ltd.,",TALBROAUTO,Talbros Automotive Components Ltd.,Active,B ,10,INE187D01011,Auto Parts & Equipment,Equity,505160
438,Z.F. Steering Gear (India) Limited,ZFSTEERING,Z.F.Steering Gear (India) Ltd.-$,Active,X ,10,INE116C01012,Auto Parts & Equipment,Equity,505163
439,SML ISUZU LIMITED,SMLISUZU,Sml Isuzu Limited,Active,A ,10,INE294B01019,Commercial Vehicles,Equity,505192
440,"TIL Ltd.,",TIL,Til Ltd.,Active,B ,10,INE806C01018,Transport Related Services,Equity,505196
441,Eicher Motors Ltd.,EICHERMOT,Eicher Motors Ltd.,Active,A ,1,INE066A01021,2/3 Wheelers,Equity,505200
442,JAINEX AAMCOL LTD.,JAINEX,Jainex Aamcol Ltd.,Active,XT,10,INE280F01019,Auto Parts & Equipment,Equity,505212
443,"Alfred Herbert (India) Ltd.,",ALFREDHE,Alfred Herbert (India) Ltd.,Active,X ,10,INE782D01027,Finance (including NBFCs),Equity,505216
444,Veljan Denison Limited,VELJAN,Veljan Denison Limited,Active,X ,10,INE232E01013,Auto Parts & Equipment,Equity,505232
445,"Dynamatic Technologies Ltd.,",DYNAMATECH,Dynamatic Technologies Ltd.-$,Active,B ,10,INE221B01012,Industrial Machinery,Equity,505242
446,"G.G. Dandekar Machine Works Ltd.,",GGDANDE,G.G.Dandekar Machine Works Ltd.,Active,X ,1,INE631D01026,Industrial Machinery,Equity,505250
447,GMM Pfaudler Ltd.,GMM,Gmm Pfaudler Ltd.,Active,A ,2,INE541A01023,Industrial Machinery,Equity,505255
448,Kirloskar Pneumatic Co.Ltd.,KIRLPNU,Kirloskar Pneumatic Co.Ltd.,Active,B ,2,INE811A01020,Industrial Machinery,Equity,505283
449,Tulive Developers Limited,TULIVE,Tulive Developers Limited,Active,XT,10,INE637D01015,Other Industrial Goods,Equity,505285
450,KPT INDUSTRIES LIMITED,KPT,Kpt Industries Ltd,Active,X ,5,INE731D01024,Industrial Machinery,Equity,505299
451,"Lakshmi Automatic Loom Works Ltd.,",LXMIATO,Lakshmi Automatic Loom Works Ltd.,Active,X ,100,INE718M01022,Industrial Machinery,Equity,505302
452,"Lynx Machinery & Commercials Ltd.,",LYNMC,Lynx Machinery & Commercials Ltd.,Active,X ,10,INE732D01014,Industrial Machinery,Equity,505320
453,Manugraph India Ltd,MANUGRAPH,Manugraph India Ltd.-$,Active,B ,2,INE867A01022,Industrial Machinery,Equity,505324
454,Mirch Technologies (India) Ltd,MIRCH,Mirch Technologies (India) Ltd,Active,XT,10,INE098E01018,Industrial Machinery,Equity,505336
455,Nesco Ltd,NESCO,Nesco Ltd.,Active,A ,2,INE317F01035,Misc.Commercial Services,Equity,505355
456,Integra Engineering India Ltd.,INTEGRAEN,Integra Engineering India Ltd.,Active,X ,1,INE984B01023,Industrial Machinery,Equity,505358
457,Revathi Equipment Ltd.,REVATHI,Revathi Equipment Ltd.-$,Active,B ,10,INE617A01013,Industrial Machinery,Equity,505368
458,Texmaco Infrastructure & Holdings Ltd,TEXINFRA,Texmaco Infrastructure & Holdings Ltd.,Active,B ,1,INE435C01024,Realty,Equity,505400
